content_id,title,content_type,genre,language,studio,duration_minutes,avg_rating,num_ratings,is_exclusive,release_date
content_00001,Midnight in Jakarta 3,Movie,Documentary,Japanese,Disney+,130,3.5,38752,True,2022-02-16
content_00002,The Compound 4,Series,Comedy,Korean,Warner Bros,58,4.6,26545,True,2024-12-24
content_00003,The Finance Hour 6,Podcast,Thriller,Korean,Universal,80,4.2,26555,False,2023-06-02
content_00004,Neon Dreams Album 5,Music,Drama,Japanese,Disney+,4,3.7,41230,True,2026-02-13
content_00005,The Last Horizon 3,Movie,Action,Indonesian,Blumhouse,128,4.0,21477,True,2024-08-02
content_00006,Fire and Rain 4,Movie,Comedy,Spanish,Blumhouse,117,4.2,32179,False,2023-03-31
content_00007,Neon Dreams Album 7,Music,Action,Indonesian,A24,4,3.3,24713,False,2023-09-16
content_00008,Code Red 8,Movie,Action,English,Universal,135,2.8,46955,False,2023-07-21
content_00009,Fire and Rain 9,Movie,Thriller,Spanish,Blumhouse,100,3.8,25699,False,2023-07-06
content_00010,Tech Decoded 1,Podcast,Sci-Fi,Korean,Paramount,25,2.8,24063,False,2021-09-30
content_00011,Urban Shadows 6,Movie,Sci-Fi,Japanese,Disney+,125,3.5,3749,True,2024-11-23
content_00012,The Agency 5,Series,Romance,Spanish,Disney+,27,3.3,1341,False,2026-01-28
content_00013,Startup Stories 1,Podcast,Documentary,Spanish,A24,80,4.0,20793,False,2023-02-01
content_00014,Culture Shift 2,Podcast,Sci-Fi,Spanish,Disney+,46,3.3,32999,False,2025-05-08
content_00015,Midnight Vibes Playlist 2,Music,Sci-Fi,Japanese,Warner Bros,5,3.0,17427,True,2024-08-14
content_00016,True Crime Weekly 6,Podcast,Horror,Spanish,Disney+,54,2.7,34853,False,2023-11-22
content_00017,Fracture 7,Series,Sci-Fi,Indonesian,Universal,54,3.3,27202,False,2024-11-16
content_00018,Culture Shift 4,Podcast,Drama,Indonesian,HBO,79,3.2,41857,False,2023-02-10
content_00019,Code Red 4,Movie,Horror,Korean,Blumhouse,99,4.4,19728,False,2023-12-26
content_00020,City Beats Collection 5,Music,Comedy,English,A24,5,2.9,45063,True,2024-01-04
content_00021,Dark Corners 4,Series,Comedy,English,Warner Bros,39,3.7,36738,False,2023-12-02
content_00022,Code Red 1,Movie,Horror,English,Universal,113,4.5,18254,True,2022-09-03
content_00023,Midnight in Jakarta 6,Movie,Thriller,Indonesian,Netflix Original,157,3.2,4216,False,2024-03-31
content_00024,Midnight in Jakarta 9,Movie,Documentary,English,Warner Bros,95,3.8,38088,False,2023-07-03
content_00025,The Wandering Soul 6,Movie,Horror,Spanish,Disney+,154,4.3,49095,True,2023-11-30
content_00026,Blood & Tide 5,Series,Drama,Indonesian,HBO,48,3.5,38682,True,2023-07-15
content_00027,Midnight Vibes Playlist 4,Music,Comedy,Korean,A24,4,4.7,9546,False,2023-08-15
content_00028,Electronic Pulse Mix 1,Music,Romance,Indonesian,Netflix Original,5,4.8,44063,True,2024-11-12
content_00029,History Unfolded 8,Podcast,Romance,Korean,Disney+,69,2.5,25804,False,2024-08-06
content_00030,Code Red 8,Movie,Horror,Korean,Warner Bros,160,3.3,42283,False,2021-11-10
content_00031,Fire and Rain 7,Movie,Romance,Indonesian,Blumhouse,122,4.3,6629,True,2022-05-15
content_00032,Indie Gold Compilation 9,Music,Comedy,Korean,A24,5,3.3,45611,True,2022-01-05
content_00033,The Last Horizon 7,Movie,Drama,Japanese,HBO,105,4.1,20610,True,2025-08-31
content_00034,Echo Protocol 6,Series,Horror,Spanish,HBO,48,3.7,48230,True,2024-10-28
content_00035,The Agency 7,Series,Sci-Fi,Korean,Warner Bros,43,3.0,24778,True,2026-03-03
content_00036,Beyond the Storm 5,Movie,Horror,Indonesian,Blumhouse,169,4.6,3312,False,2022-10-27
content_00037,Science Today 3,Podcast,Romance,English,Disney+,35,2.5,34511,False,2021-12-13
content_00038,History Unfolded 4,Podcast,Thriller,Indonesian,Warner Bros,54,3.2,32435,False,2025-07-22
content_00039,Startup Stories 4,Podcast,Horror,Spanish,Warner Bros,73,3.0,9614,True,2024-08-28
content_00040,Acoustic Sessions Vol.1 6,Music,Horror,Spanish,Blumhouse,5,4.2,30076,True,2026-03-24
content_00041,History Unfolded 7,Podcast,Drama,Korean,A24,74,4.3,16842,True,2025-10-01
content_00042,Fire and Rain 6,Movie,Action,Korean,Warner Bros,157,4.8,39255,True,2026-04-04
content_00043,Electronic Pulse Mix 6,Music,Documentary,Korean,A24,3,4.9,36721,True,2023-01-12
content_00044,The Compound 8,Series,Romance,English,Blumhouse,28,2.7,46597,False,2025-06-28
content_00045,Acoustic Sessions Vol.1 8,Music,Comedy,Korean,Netflix Original,4,4.4,28236,False,2021-05-15
content_00046,Midnight Vibes Playlist 3,Music,Romance,Spanish,Paramount,4,4.3,32246,True,2023-03-03
content_00047,Tech Decoded 4,Podcast,Action,English,HBO,43,2.6,17104,True,2022-04-30
content_00048,Tech Decoded 8,Podcast,Documentary,Indonesian,Blumhouse,65,5.0,36806,False,2023-09-20
content_00049,Science Today 2,Podcast,Comedy,English,Disney+,46,4.7,11889,True,2022-01-30
content_00050,Indie Gold Compilation 3,Music,Horror,Spanish,Netflix Original,4,4.8,16182,False,2022-06-28
content_00051,Midnight in Jakarta 7,Movie,Sci-Fi,Indonesian,Universal,127,4.0,7001,False,2025-06-04
content_00052,Fire and Rain 5,Movie,Comedy,Japanese,Blumhouse,156,4.1,21639,True,2022-08-10
content_00053,History Unfolded 1,Podcast,Sci-Fi,Spanish,HBO,56,3.3,3689,True,2023-03-21
content_00054,Mind & Body 4,Podcast,Comedy,Japanese,Universal,71,2.7,13696,True,2024-02-09
content_00055,Startup Stories 8,Podcast,Romance,English,Disney+,75,4.3,20372,True,2024-04-09
content_00056,Fire and Rain 8,Movie,Sci-Fi,Spanish,Warner Bros,129,3.7,36950,False,2025-10-12
content_00057,The Finance Hour 7,Podcast,Sci-Fi,Spanish,HBO,31,2.6,22446,False,2022-06-29
content_00058,Fracture 8,Series,Drama,Japanese,Disney+,47,2.7,31350,False,2025-06-14
content_00059,Fracture 1,Series,Romance,English,A24,55,2.7,3005,True,2023-06-04
content_00060,Startup Stories 6,Podcast,Documentary,Indonesian,Blumhouse,52,4.0,33043,True,2025-08-24
content_00061,Tech Decoded 2,Podcast,Drama,English,A24,73,4.7,19556,False,2022-12-29
content_00062,Science Today 3,Podcast,Thriller,Spanish,Universal,47,3.0,49007,False,2021-05-25
content_00063,The Last Horizon 7,Movie,Documentary,Spanish,Netflix Original,94,2.5,43028,False,2023-09-15
content_00064,The Finance Hour 5,Podcast,Thriller,Korean,Paramount,31,2.8,959,True,2025-08-28
content_00065,Fire and Rain 3,Movie,Horror,Indonesian,Warner Bros,163,3.1,41079,True,2025-10-20
content_00066,Midnight Vibes Playlist 1,Music,Thriller,English,Blumhouse,3,2.9,10039,False,2023-07-26
content_00067,History Unfolded 5,Podcast,Action,Japanese,Warner Bros,70,2.6,566,True,2022-10-01
content_00068,Tech Decoded 8,Podcast,Documentary,Japanese,Universal,71,3.7,38784,False,2024-12-26
content_00069,Midnight in Jakarta 5,Movie,Action,Japanese,Paramount,162,3.5,31070,True,2023-07-06
content_00070,Acoustic Sessions Vol.1 5,Music,Thriller,Japanese,Netflix Original,5,3.0,22584,False,2024-12-25
content_00071,Neon District 5,Series,Sci-Fi,Spanish,Blumhouse,44,4.9,44162,False,2021-10-27
content_00072,Startup Stories 2,Podcast,Drama,Spanish,Warner Bros,81,2.8,13123,True,2022-11-21
content_00073,Startup Stories 4,Podcast,Comedy,Japanese,Blumhouse,46,3.9,1238,False,2021-05-06
content_00074,Indie Gold Compilation 1,Music,Sci-Fi,English,HBO,3,3.3,7519,True,2025-08-10
content_00075,The Compound 1,Series,Thriller,Korean,Paramount,55,3.2,9957,True,2022-04-29
content_00076,Midnight in Jakarta 2,Movie,Thriller,Japanese,Disney+,151,2.6,6958,True,2022-10-02
content_00077,Silent Frequency 8,Movie,Horror,Korean,HBO,177,3.8,48058,True,2025-06-03
content_00078,Acoustic Sessions Vol.1 8,Music,Sci-Fi,English,Disney+,4,4.4,481,True,2021-08-09
content_00079,True Crime Weekly 5,Podcast,Sci-Fi,Korean,HBO,67,4.3,27248,False,2022-10-03
content_00080,Blood & Tide 3,Series,Drama,Spanish,A24,47,3.5,26874,False,2021-07-04
content_00081,Neon Dreams Album 9,Music,Action,Japanese,HBO,3,2.7,20681,False,2021-12-15
content_00082,Dark Corners 3,Series,Documentary,Indonesian,A24,56,2.6,41443,False,2023-12-08
content_00083,Tech Decoded 5,Podcast,Romance,Korean,Paramount,87,4.0,9674,False,2023-10-14
content_00084,Blood & Tide 5,Series,Thriller,Korean,A24,25,2.6,21971,False,2022-03-21
content_00085,Fracture 9,Series,Romance,English,Disney+,41,4.4,10537,True,2026-02-16
content_00086,Indie Gold Compilation 2,Music,Horror,Korean,A24,5,2.6,24493,False,2022-10-08
content_00087,Midnight Vibes Playlist 5,Music,Comedy,Indonesian,Disney+,5,4.3,29747,False,2024-12-17
content_00088,Neon District 7,Series,Sci-Fi,Korean,Universal,53,4.3,6946,False,2023-05-23
content_00089,Neon District 7,Series,Sci-Fi,Japanese,Disney+,46,2.7,4125,False,2021-04-21
content_00090,The Agency 6,Series,Thriller,English,Blumhouse,53,3.5,36682,False,2021-05-25
content_00091,Electronic Pulse Mix 8,Music,Thriller,Japanese,Blumhouse,5,4.9,10722,True,2023-06-14
content_00092,The Agency 4,Series,Thriller,Japanese,HBO,49,3.7,48972,True,2023-02-25
content_00093,Neon Dreams Album 2,Music,Comedy,Spanish,A24,4,3.9,2689,True,2025-08-16
content_00094,City Beats Collection 8,Music,Romance,Korean,Universal,3,4.5,9365,False,2026-01-05
content_00095,Electronic Pulse Mix 8,Music,Romance,English,HBO,3,2.8,22899,True,2021-05-28
content_00096,Fire and Rain 6,Movie,Documentary,Japanese,Universal,180,3.4,47238,True,2022-01-05
content_00097,Neon District 6,Series,Thriller,Japanese,Blumhouse,25,4.5,43598,False,2024-02-11
content_00098,Black Mirror Effect 5,Series,Documentary,Korean,Netflix Original,25,4.7,46397,True,2023-01-29
content_00099,Acoustic Sessions Vol.1 9,Music,Comedy,Spanish,Disney+,5,4.4,37421,True,2022-01-28
content_00100,Tech Decoded 5,Podcast,Action,Indonesian,HBO,46,3.1,46293,False,2025-10-23
content_00101,Midnight Vibes Playlist 1,Music,Documentary,Spanish,Netflix Original,4,3.6,27243,True,2021-06-19
content_00102,Neon Dreams Album 2,Music,Documentary,Korean,Disney+,5,2.9,9489,True,2024-11-07
content_00103,Code Red 1,Movie,Drama,Korean,A24,158,4.9,11942,True,2022-04-15
content_00104,The Wandering Soul 3,Movie,Romance,Japanese,Disney+,132,4.7,16953,False,2021-08-23
content_00105,Beyond the Storm 8,Movie,Action,English,Warner Bros,145,4.4,25284,True,2024-10-10
content_00106,Midnight in Jakarta 8,Movie,Sci-Fi,Japanese,A24,83,3.5,15368,True,2024-10-10
content_00107,Silent Frequency 7,Movie,Horror,Spanish,HBO,137,2.7,41717,True,2021-11-23
content_00108,Blood & Tide 9,Series,Sci-Fi,Spanish,HBO,47,4.9,36432,False,2026-01-19
content_00109,Code Red 1,Movie,Thriller,Spanish,Universal,87,4.8,31650,False,2022-12-07
content_00110,Indie Gold Compilation 9,Music,Documentary,Korean,Warner Bros,4,2.6,48493,True,2024-08-07
content_00111,Silent Frequency 7,Movie,Documentary,Indonesian,HBO,106,4.0,20910,False,2022-09-22
content_00112,Electronic Pulse Mix 6,Music,Thriller,Korean,Warner Bros,4,3.0,39339,False,2026-03-13
content_00113,Dark Corners 1,Series,Action,Spanish,Blumhouse,31,3.5,45695,False,2022-01-04
content_00114,Culture Shift 2,Podcast,Comedy,Indonesian,Netflix Original,65,4.9,24716,False,2024-02-12
content_00115,The Compound 4,Series,Action,Indonesian,Blumhouse,48,2.5,48752,True,2022-01-12
content_00116,Indie Gold Compilation 5,Music,Sci-Fi,English,Disney+,5,3.1,32412,False,2026-01-29
content_00117,Neon Dreams Album 4,Music,Thriller,Spanish,Warner Bros,5,3.5,18226,False,2025-04-30
content_00118,The Agency 3,Series,Drama,Indonesian,HBO,36,4.8,14989,False,2025-03-18
content_00119,The Last Horizon 7,Movie,Romance,Spanish,Blumhouse,162,4.2,42650,True,2021-07-01
content_00120,Neon Dreams Album 9,Music,Documentary,Japanese,Universal,4,3.7,33948,True,2021-04-30
content_00121,Black Mirror Effect 6,Series,Action,Korean,A24,20,3.5,21985,True,2021-05-08
content_00122,Beyond the Storm 4,Movie,Horror,Japanese,Disney+,101,3.3,4168,True,2026-02-16
content_00123,Startup Stories 4,Podcast,Documentary,Indonesian,Paramount,33,3.7,22384,True,2021-09-05
content_00124,Neon Dreams Album 8,Music,Horror,Indonesian,Blumhouse,5,2.8,4027,True,2024-03-03
content_00125,Midnight Vibes Playlist 1,Music,Comedy,English,Netflix Original,4,4.0,28351,True,2025-09-18
content_00126,Urban Shadows 2,Movie,Action,Korean,A24,159,4.4,15327,True,2023-09-29
content_00127,Science Today 1,Podcast,Thriller,Japanese,Disney+,78,3.8,38572,True,2025-09-05
content_00128,Beyond the Storm 3,Movie,Action,Spanish,Disney+,161,3.8,23340,False,2023-08-03
content_00129,Tech Decoded 1,Podcast,Drama,English,HBO,36,3.3,28613,False,2024-07-16
content_00130,The Compound 5,Series,Drama,Japanese,Universal,43,4.9,33976,True,2025-12-18
content_00131,Blood & Tide 4,Series,Action,Japanese,Paramount,60,4.8,4532,False,2025-03-23
content_00132,Science Today 5,Podcast,Thriller,Spanish,Paramount,73,3.3,6921,False,2021-05-16
content_00133,Beyond the Storm 4,Movie,Thriller,English,Netflix Original,139,4.1,15714,False,2022-03-02
content_00134,Acoustic Sessions Vol.1 1,Music,Documentary,English,A24,4,2.5,23504,True,2023-03-05
content_00135,Beyond the Storm 6,Movie,Drama,Korean,Blumhouse,85,4.9,13099,True,2024-09-10
content_00136,The Compound 9,Series,Horror,Korean,HBO,35,2.9,1458,True,2021-07-23
content_00137,Midnight Vibes Playlist 2,Music,Comedy,Indonesian,HBO,4,4.8,20043,False,2024-12-09
content_00138,Electronic Pulse Mix 2,Music,Sci-Fi,English,A24,3,2.9,8621,True,2025-03-18
content_00139,History Unfolded 1,Podcast,Sci-Fi,Korean,A24,44,4.6,19329,True,2024-06-12
content_00140,Black Mirror Effect 4,Series,Action,Korean,HBO,25,4.5,43533,True,2025-05-07
content_00141,Mind & Body 6,Podcast,Sci-Fi,Japanese,Blumhouse,67,3.8,31723,False,2023-08-18
content_00142,Acoustic Sessions Vol.1 4,Music,Documentary,Spanish,Netflix Original,3,3.6,15410,False,2025-01-22
content_00143,City Beats Collection 5,Music,Documentary,Japanese,HBO,5,2.7,49308,True,2024-08-18
content_00144,Culture Shift 9,Podcast,Sci-Fi,English,Netflix Original,63,3.6,30691,False,2023-12-29
content_00145,Midnight Vibes Playlist 1,Music,Thriller,Korean,Universal,3,3.6,17457,True,2024-04-09
content_00146,Silent Frequency 4,Movie,Romance,Spanish,Disney+,92,2.8,23658,True,2023-03-23
content_00147,Fracture 5,Series,Sci-Fi,English,Paramount,37,3.0,39635,True,2021-06-28
content_00148,City Beats Collection 7,Music,Action,Korean,Universal,4,4.6,49713,True,2023-08-22
content_00149,Blood & Tide 8,Series,Documentary,English,Warner Bros,34,3.8,36266,False,2022-03-27
content_00150,History Unfolded 7,Podcast,Sci-Fi,Indonesian,Paramount,73,3.0,29539,True,2024-03-08
content_00151,Black Mirror Effect 6,Series,Drama,Korean,Netflix Original,41,3.1,27949,False,2022-01-03
content_00152,Indie Gold Compilation 1,Music,Sci-Fi,Spanish,Netflix Original,3,2.9,21693,False,2024-02-24
content_00153,Blood & Tide 8,Series,Documentary,Indonesian,A24,26,3.3,29641,False,2025-10-06
content_00154,Dark Corners 8,Series,Comedy,Spanish,HBO,21,3.0,4604,False,2024-09-10
content_00155,Black Mirror Effect 1,Series,Horror,Korean,Disney+,43,3.8,11310,False,2021-06-19
content_00156,Mind & Body 9,Podcast,Documentary,English,Disney+,73,3.7,4556,False,2021-06-07
content_00157,Echo Protocol 8,Series,Drama,English,Universal,30,4.0,20386,True,2023-06-20
content_00158,Mind & Body 8,Podcast,Romance,English,Netflix Original,28,4.6,39689,True,2023-05-04
content_00159,Indie Gold Compilation 1,Music,Thriller,Japanese,Blumhouse,5,2.7,42405,False,2024-05-04
content_00160,Midnight Vibes Playlist 4,Music,Documentary,Spanish,HBO,3,4.7,48103,False,2023-09-20
content_00161,The Finance Hour 1,Podcast,Drama,Spanish,Disney+,50,4.7,10400,False,2021-05-03
content_00162,Midnight Vibes Playlist 9,Music,Comedy,English,Blumhouse,3,5.0,5065,True,2023-06-16
content_00163,City Beats Collection 4,Music,Documentary,Japanese,HBO,5,2.6,1800,True,2022-09-14
content_00164,History Unfolded 7,Podcast,Documentary,Korean,A24,24,2.5,7565,True,2024-06-14
content_00165,True Crime Weekly 9,Podcast,Thriller,Japanese,Disney+,51,4.3,28736,True,2023-08-24
content_00166,Indie Gold Compilation 2,Music,Drama,English,Netflix Original,3,3.2,35089,False,2025-05-05
content_00167,Fire and Rain 6,Movie,Action,Korean,HBO,102,3.0,2307,True,2023-10-22
content_00168,Fire and Rain 1,Movie,Comedy,Japanese,Universal,156,2.5,24782,True,2024-11-19
content_00169,Neon Dreams Album 7,Music,Horror,English,Disney+,3,5.0,22143,True,2022-06-22
content_00170,Code Red 1,Movie,Horror,Indonesian,HBO,133,3.8,21489,False,2023-02-18
content_00171,Echo Protocol 2,Series,Horror,Spanish,A24,34,3.0,23418,False,2025-04-24
content_00172,Urban Shadows 4,Movie,Documentary,Korean,Netflix Original,138,3.1,43170,False,2022-08-22
content_00173,Midnight Vibes Playlist 5,Music,Action,Indonesian,Warner Bros,5,3.7,6722,True,2024-11-15
content_00174,The Wandering Soul 3,Movie,Sci-Fi,Japanese,HBO,161,4.4,45114,False,2021-07-06
content_00175,Culture Shift 7,Podcast,Comedy,Korean,Netflix Original,85,4.1,15282,True,2024-12-24
content_00176,Urban Shadows 4,Movie,Comedy,Korean,Warner Bros,159,2.7,9064,False,2023-06-28
content_00177,Acoustic Sessions Vol.1 1,Music,Horror,English,A24,3,4.8,39245,False,2022-02-21
content_00178,Electronic Pulse Mix 1,Music,Drama,Korean,Paramount,5,4.5,27240,False,2022-01-28
content_00179,Beyond the Storm 4,Movie,Horror,Korean,Paramount,149,2.6,43631,True,2021-10-16
content_00180,Neon District 8,Series,Documentary,Spanish,Paramount,60,2.5,32270,True,2025-03-16
content_00181,Midnight in Jakarta 3,Movie,Drama,English,HBO,155,3.9,13443,True,2023-06-10
content_00182,Code Red 4,Movie,Documentary,Japanese,Universal,111,3.6,39755,True,2024-08-02
content_00183,Midnight Vibes Playlist 2,Music,Thriller,English,Universal,4,3.5,11044,False,2023-10-24
content_00184,Tech Decoded 7,Podcast,Documentary,English,Blumhouse,74,4.6,49782,False,2022-12-13
content_00185,Black Mirror Effect 5,Series,Drama,Korean,A24,49,3.2,36890,False,2025-11-18
content_00186,Acoustic Sessions Vol.1 4,Music,Drama,Japanese,Warner Bros,3,2.5,32863,False,2023-07-13
content_00187,The Finance Hour 8,Podcast,Documentary,Japanese,Paramount,59,4.1,38605,True,2023-12-29
content_00188,Beyond the Storm 7,Movie,Comedy,Japanese,HBO,112,4.4,49305,False,2023-06-06
content_00189,The Finance Hour 4,Podcast,Sci-Fi,Indonesian,A24,51,3.7,23735,True,2022-05-17
content_00190,Neon District 5,Series,Romance,Spanish,Blumhouse,35,4.0,43474,True,2026-03-20
content_00191,Midnight in Jakarta 9,Movie,Comedy,Japanese,A24,104,4.7,10917,False,2024-11-13
content_00192,Electronic Pulse Mix 7,Music,Documentary,Spanish,Universal,5,4.7,7211,False,2021-09-20
content_00193,Fracture 1,Series,Romance,English,A24,30,4.5,153,True,2025-11-22
content_00194,Mind & Body 3,Podcast,Documentary,Korean,A24,67,3.0,8853,True,2023-07-23
content_00195,Neon District 4,Series,Comedy,Japanese,Warner Bros,23,4.4,49802,True,2024-10-30
content_00196,Mind & Body 2,Podcast,Thriller,Spanish,Disney+,57,2.7,8221,False,2025-12-04
content_00197,Midnight Vibes Playlist 8,Music,Action,Spanish,Warner Bros,5,4.4,673,True,2024-10-17
content_00198,The Last Horizon 7,Movie,Action,Indonesian,Warner Bros,157,3.8,49946,False,2023-07-24
content_00199,Science Today 6,Podcast,Sci-Fi,Spanish,A24,63,5.0,15752,False,2022-07-22
content_00200,Science Today 6,Podcast,Documentary,Spanish,Netflix Original,32,2.5,45814,False,2022-03-21
content_00201,Fracture 4,Series,Action,Spanish,Disney+,43,3.6,45019,False,2023-05-26
content_00202,Tech Decoded 6,Podcast,Horror,Indonesian,Paramount,25,4.9,48272,False,2022-06-26
content_00203,The Finance Hour 2,Podcast,Horror,Spanish,Blumhouse,64,3.6,31253,True,2022-03-03
content_00204,Mind & Body 9,Podcast,Romance,Spanish,Warner Bros,84,2.6,32682,True,2024-08-05
content_00205,Culture Shift 9,Podcast,Drama,Japanese,Disney+,50,3.1,11219,True,2025-09-10
content_00206,The Finance Hour 5,Podcast,Action,English,Paramount,48,4.3,43692,False,2022-07-11
content_00207,Midnight in Jakarta 6,Movie,Drama,Spanish,Blumhouse,108,4.8,39416,True,2022-09-04
content_00208,Acoustic Sessions Vol.1 4,Music,Documentary,Japanese,A24,4,2.8,5796,True,2025-10-14
content_00209,Acoustic Sessions Vol.1 6,Music,Horror,Indonesian,Paramount,4,3.9,160,False,2025-12-09
content_00210,The Compound 3,Series,Documentary,Japanese,Paramount,53,4.2,38767,True,2025-09-08
content_00211,Science Today 3,Podcast,Action,Spanish,Blumhouse,57,4.6,32807,False,2025-06-17
content_00212,City Beats Collection 9,Music,Drama,Indonesian,Paramount,5,2.8,46352,False,2022-09-30
content_00213,Dark Corners 6,Series,Thriller,Korean,A24,29,4.6,13852,True,2022-05-11
content_00214,Silent Frequency 3,Movie,Drama,Japanese,A24,82,3.9,22162,False,2022-06-26
content_00215,True Crime Weekly 9,Podcast,Sci-Fi,Japanese,A24,56,3.2,12835,False,2025-09-27
content_00216,Fracture 8,Series,Sci-Fi,Spanish,Netflix Original,30,3.9,29009,False,2024-08-26
content_00217,Dark Corners 6,Series,Horror,English,Warner Bros,56,2.8,9723,False,2023-11-22
content_00218,Black Mirror Effect 3,Series,Action,Indonesian,Paramount,23,2.8,33829,False,2022-12-16
content_00219,Tech Decoded 2,Podcast,Drama,Japanese,Warner Bros,50,3.5,19887,True,2022-08-17
content_00220,Startup Stories 8,Podcast,Comedy,Japanese,A24,67,2.5,7693,True,2025-08-08
content_00221,Startup Stories 2,Podcast,Horror,Indonesian,Blumhouse,43,3.5,42294,False,2024-08-11
content_00222,Neon District 7,Series,Comedy,Korean,Disney+,21,3.5,35204,False,2025-12-05
content_00223,Code Red 1,Movie,Horror,Indonesian,HBO,151,3.6,20647,True,2026-01-24
content_00224,Fracture 1,Series,Horror,English,Disney+,25,4.9,33220,False,2024-03-31
content_00225,Fracture 1,Series,Documentary,Indonesian,Warner Bros,53,4.8,19278,False,2025-07-02
content_00226,History Unfolded 2,Podcast,Sci-Fi,Spanish,Paramount,25,3.1,12375,True,2024-08-09
content_00227,The Compound 5,Series,Drama,Spanish,Warner Bros,28,4.3,27707,True,2023-03-15
content_00228,Midnight Vibes Playlist 8,Music,Romance,Japanese,HBO,3,4.9,44386,False,2022-05-23
content_00229,Blood & Tide 6,Series,Horror,Indonesian,Universal,56,4.1,33566,True,2023-12-07
content_00230,Dark Corners 4,Series,Sci-Fi,Japanese,A24,24,3.2,34880,True,2022-06-14
content_00231,Science Today 6,Podcast,Comedy,Korean,Disney+,54,2.9,14845,False,2026-03-25
content_00232,Midnight in Jakarta 2,Movie,Documentary,English,A24,102,3.8,20140,False,2025-10-01
content_00233,Indie Gold Compilation 2,Music,Romance,Spanish,Universal,3,2.9,49324,False,2025-04-09
content_00234,City Beats Collection 1,Music,Documentary,Japanese,HBO,5,3.8,10240,True,2025-06-26
content_00235,History Unfolded 7,Podcast,Romance,Indonesian,Paramount,78,3.0,23249,False,2023-06-21
content_00236,City Beats Collection 2,Music,Romance,Japanese,Warner Bros,4,3.5,20545,True,2022-09-23
content_00237,Code Red 1,Movie,Comedy,English,Disney+,90,4.4,36367,False,2021-10-02
content_00238,Fire and Rain 8,Movie,Documentary,Spanish,HBO,145,4.2,44403,True,2024-01-05
content_00239,The Wandering Soul 4,Movie,Horror,Indonesian,A24,174,4.2,34660,True,2022-11-18
content_00240,Mind & Body 2,Podcast,Drama,Spanish,Warner Bros,66,4.6,33714,False,2025-12-31
content_00241,Science Today 2,Podcast,Thriller,Japanese,HBO,63,4.8,16418,True,2024-08-28
content_00242,Acoustic Sessions Vol.1 1,Music,Thriller,Korean,Universal,5,4.1,25846,True,2024-07-29
content_00243,The Last Horizon 6,Movie,Thriller,Spanish,Blumhouse,80,4.0,21581,False,2024-04-20
content_00244,Urban Shadows 6,Movie,Action,Korean,HBO,81,2.8,32296,True,2025-10-23
content_00245,Dark Corners 3,Series,Documentary,Indonesian,Blumhouse,36,3.1,25960,False,2024-08-10
content_00246,Neon Dreams Album 8,Music,Documentary,English,Universal,5,4.6,10655,True,2024-04-20
content_00247,True Crime Weekly 4,Podcast,Action,Korean,Warner Bros,56,2.6,25906,False,2022-02-11
content_00248,Midnight Vibes Playlist 5,Music,Action,English,Warner Bros,3,3.6,36102,False,2021-10-19
content_00249,Neon District 2,Series,Sci-Fi,Japanese,A24,26,4.5,8315,True,2024-05-10
content_00250,Urban Shadows 1,Movie,Horror,Indonesian,Paramount,135,3.7,18545,False,2025-10-27
